username,name,email_id,contact_num,address,password
utkrsh,utkarsh,utkarsh@pes.edu,9087654321,indiranagar,password
sagar,sagar hatwar,sagar@pes.edu,8907654321,banashankari,password
harsha,sriharsha,shriharsha@pes.edu,7890654321,koramangala,password
nidhi,shrinidhi,nidhi@pes.edu,9078654321,banashankari,password
prnc,prince,prince@pes.edu,9090785690,nagarbhavi,password
vishwa,vishwanath,vishwa@pes.edu,8990908978,mg road,password
chittu,chittranjan,chitttu@pes.edu,9009896745,malleshwaram,password
vinay,vinay joshi,vinay@pes.edu,9009908909,baswangudi,password
akash,akash sharma,akash@pes.edu,9233456781,indiranagar,password
anmol,anmol shekhar,anmol@pes.edu,9111324939,koramangala,password
indra,indrajeet,indra@pes.edu,7009898909,banashankari,password
